show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s776,movie,A Perfect Ending,nicole conn,"barbara niven, jessica clark, john heard, morgan fairchild, kerry knuppe, imelda corcoran, mary jane wells, rebecca staab, michael adam hamilton, bryan jackson, bryan mordechai jackson",united states,2021-06-02,2012,tv-ma,110 min,"Dramas, Independent Movies, LGBTQ Movies","After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl."
s777,movie,American Outlaws,les mayfield,"colin farrell, scott caan, ali larter, gabriel macht, gregory smith, harris yulin, kathy bates, timothy dalton, ty o'neal, will mccormack, ronny cox, terry o'quinn, muse watson, joe stevens, barry tubb",united states,2021-06-02,2001,pg-13,94 min,Action & Adventure,"In the wake of the Civil War, Jesse James leads a feisty group of ranchers in a fight against a railroad baron bent on seizing their land at any cost."
s778,movie,And Then Came Lola,"ellen seidler, megan siler","ashleigh sumner, jill bennett, cathy debuono, jessica graham, angelyna martinez, candy tolentino, linda ignazi, jenoa harlow, lisa dewey, kathy domenici",united states,2021-06-02,2009,tv-ma,70 min,"Comedies, Independent Movies, LGBTQ Movies","In this lesbian-themed nod to the film Run Lola Run, a photographer races against the clock to make it to an important meeting on time."
s780,movie,Battlefield Earth,roger christian,"john travolta, barry pepper, forest whitaker, kim coates, sabine karsenti, richard tyson, kelly preston, michael macrae, shaun austin-olsen, tim post, michael byrne",united states,2021-06-02,2000,pg-13,118 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy","In the year 3000, an alien race known as the Psychlos devastate planet Earth and force the surviving human population into slavery."
s783,movie,Bliss,lance young,"craig sheffer, sheryl lee, terence stamp, casey siemaszko, spalding gray, lois chiles, blu mankuma, ken camroux-taylor, eli gabay, molly parker","canada, united states",2021-06-02,1997,r,103 min,"Dramas, Romantic Movies","Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex."
s784,movie,Carnaval,leandro neri,"giovana cordeiro, gkay, bruna inocencio, samya pascotto, flavia pavanelli, micael borges, jean pedro, rafael medrado, nikolas antunes, stella miranda",brazil,2021-06-02,2021,tv-ma,95 min,"Comedies, International Movies, Music & Musicals","After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes."
s785,movie,Cloudburst,thom fitzgerald,"olympia dukakis, ryan doucette, brenda fricker, kristin booth, michael mcphee, john dunsworth, jeremy akerman, mary-colin chisholm, kevin kincaid","united states, canada",2021-06-02,2011,tv-ma,93 min,"Comedies, Dramas, Independent Movies","A lesbian couple escapes from their nursing home and heads to Canada to get married. Along the way, they pick up a young male hitchhiker."
s787,movie,Company of Heroes,don michael paul,"tom sizemore, chad michael collins, vinnie jones, dimitri diatchenko, neal mcdonough, jürgen prochnow, sam spruell, richard sammel, philip rham, alastair mackenzie",united states,2021-06-02,2013,r,101 min,"Action & Adventure, Dramas","During the last major German offensive of World War II, a group of Allied soldiers sets out against all odds to turn the war around."
s788,movie,Cradle 2 the Grave,andrzej bartkowiak,"jet li, dmx, anthony anderson, kelly hu, tom arnold, mark dacascos, gabrielle union, michael jace, drag-on, paige hurd",united states,2021-06-02,2003,r,101 min,Action & Adventure,"When a jewel thief pulls off a risky diamond heist with his crew, a gang kidnaps his young daughter and steals the loot as a rival agent offers his help."
s789,movie,Domestic Disturbance,harold becker,"john travolta, vince vaughn, teri polo, matt o'leary, ruben santiago-hudson, susan floyd, angelica page, steve buscemi, chris ellis",united states,2021-06-02,2001,pg-13,89 min,Thrillers,A recovering alcoholic is skeptical of his son's claim that his new stepfather is a killer – but soon begins to sense the boy is telling the truth.
s791,movie,Dream/Killer,andrew jenks,"bill ferguson, ryan ferguson",united states,2021-06-02,2015,tv-ma,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.
s792,movie,Felon,ric roman waugh,"stephen dorff, val kilmer, harold perrineau, marisol nichols, anne archer, nick chinlund, nate parker, johnny lewis, sam shepard, jake walker, joey villasenor, antonio leyba, mike seal, richard caruso, kevin wiggins, larnell stovall, mara holguin, elton walker, brittany perrineau, esodie geiger, jermaine washington, greg serano, brian keith gamble, mark sivertsen, carrie fleming, adam taylor, chris browning, john koyama, shawn prince, christopher dempsey, cynthia ruffin",united states,2021-06-02,2008,r,104 min,"Action & Adventure, Dramas","After killing a burglar while trying to protect his family, regular guy Wade is convicted of involuntary manslaughter and thrown into prison."
s793,movie,Flipped,rob reiner,"madeline carroll, callan mcauliffe, rebecca de mornay, anthony edwards, john mahoney, penelope ann miller, aidan quinn, kevin weisman, morgan lily, ryan ketzner",united states,2021-06-02,2010,pg,90 min,"Comedies, Dramas, Romantic Movies","Bryce and Juli first meet as children, with Juli having a crush on Bryce. As they mature, it appears their bond may blossom into something more."
s794,movie,Fools Rush In,andy tennant,"matthew perry, salma hayek, jon tenney, carlos gómez, tomas milian, siobhan fallon hogan, john bennett perry, stanley desantis, suzanne snyder, anne betancourt, jill clayburgh",united states,2021-06-02,1997,pg-13,109 min,"Comedies, Romantic Movies","When a one-night stand results in a pregnancy, two strangers with opposite personalities rush into marriage then must deal with the consequences."
s795,movie,Gold Statue,tade ogidan,"gabriel afolayan, kunle remi, richard mofe-damijo, sola sobowale, kelvin ikeduba, kunle fawole, norbert young, alibaba akporobome, segun arinze, rycardo agbor",nigeria,2021-06-02,2019,tv-14,145 min,"Comedies, Dramas, International Movies","After tracing an artifact to his ancestry, a young man and his friend's search for a gilded statue lands them in a maximum-security prison."
s797,movie,Hostel: Part III,scott spiegel,"kip pardue, brian hallisay, john hensley, sarah habel, chris coy, skyler stone, thomas kretschmann, zulay henao, nickola shreli, derrick carr",united states,2021-06-02,2011,r,88 min,"Cult Movies, Horror Movies","In this installment in the popular horror franchise, a bachelor party in Las Vegas turns into a hellish bloodbath for all involved."
s798,movie,I Am Sam,jessie nelson,"sean penn, michelle pfeiffer, dakota fanning, dianne wiest, loretta devine, richard schiff, laura dern, brad silverman, joseph rosenberg, stanley desantis, doug hutchison",united states,2021-06-02,2001,pg-13,132 min,Dramas,"When the legal system declares him unfit to be a parent, a father with an intellectual disability fights to regain custody of his young daughter."
s799,movie,Love Jones,theodore witcher,"larenz tate, nia long, isaiah washington, lisa nicole carson, bill bellamy, leonard roberts, bernadette l. clarke, khalil kain",united states,2021-06-02,1997,r,109 min,"Comedies, Dramas, Independent Movies",A poet and a photographer take a chance on romance but find their ambitions and baggage could keep them from taking their relationship further.
s800,movie,Million Dollar Baby,clint eastwood,"clint eastwood, hilary swank, morgan freeman, anthony mackie, jay baruchel, mike colter, lucia rijker, brían f. o'byrne, margo martindale, riki lindhome",united states,2021-06-02,2004,pg-13,133 min,"Dramas, Sports Movies","When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents."
s801,movie,Mosquita y Mari,aurora guerrero,"fenessa pineda, venecia troncoso, joaquín garrido, laura patalano, dulce maria solis, marisela uscanga, melissa uscanga, omar leyva, tonita castro, paul alayo",united states,2021-06-02,2012,tv-14,85 min,"Dramas, Independent Movies, LGBTQ Movies","Neighbors but by no means friends, high schoolers Yolanda and Mari discover a bond and an attraction when they're made study partners."
s802,movie,Never Back Down 2: The Beatdown,michael jai white,"michael jai white, dean geyer, alex meraz, todd duffee, scottie epstein, jillian murray, evan peters, stacey asaro, gralen bryant banks, rus blackwell",united states,2021-06-02,2011,r,104 min,"Action & Adventure, Dramas, Sports Movies",A group of mixed martial arts fighters stars in this action thriller that follows a quartet of brawlers as they prepare for a major underground event.
s803,movie,Ninja Assassin,james mcteigue,"rain, naomie harris, ben miles, rick yune, shô kosugi, sung kang, richard van weyden, thorston manderlay, wladimir tarasjanz, eleonore weisgerber","germany, united states, france",2021-06-02,2009,r,99 min,Action & Adventure,A former assassin must protect himself and a Europol agent from a ruthless band of assassins who wish to exist in secrecy.
s804,tv show,Ouran High School Host Club,takuya igarashi,"maaya sakamoto, mamoru miyano, masaya matsukaze, kenichi suzumura, keisuke oda, ayaka saito, daisuke kirii",japan,2021-06-02,2006,tv-pg,1 Season,"Anime Series, Romantic TV Shows, Teen TV Shows","New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school."
s805,movie,Population 436,michelle maclaren,"jeremy sisto, fred durst, charlotte sullivan, david ames, cory cassidy, james blicq, martin trudel, reva timbers, rick skene, peter outerbridge, dana horrox","canada, united states",2021-06-02,2006,r,93 min,"Horror Movies, Thrillers","A census taker sent to investigate why Rockwell Falls has had the same population, 436, for more than a century, soon wishes he hadn't taken the job."
s809,movie,Sniper: Legacy,don michael paul,"tom berenger, chad michael collins, doug allen, dominic mafham, mercedes mason, mark lewis jones, nestor serrano, dennis haysbert, alex roe, yana marinova","united states, bulgaria",2021-06-02,2014,r,98 min,Action & Adventure,"When a troubled sniper begins killing officers he blames for a bungled mission, elite marksman Brandon Beckett sets out to neutralize the threat."
s810,movie,Starsky & Hutch,todd phillips,"ben stiller, owen wilson, vince vaughn, juliette lewis, snoop dogg, fred williamson, jason bateman, amy smart, carmen electra, george cheung",united states,2021-06-02,2004,pg-13,101 min,"Action & Adventure, Comedies",New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.
s811,movie,Streets of Fire,walter hill,"michael paré, diane lane, rick moranis, amy madigan, willem dafoe, deborah van valkenburgh, richard lawson, rick rossovich, bill paxton, lee ving",united states,2021-06-02,1984,pg,94 min,"Action & Adventure, Classic Movies, Cult Movies","Tough ex-soldier Tom Cody springs into action when a depraved motorcycle gang kidnaps his former girlfriend, Ellen, who's now a famous singer."
s813,movie,Swordfish,dominic sena,"john travolta, hugh jackman, halle berry, don cheadle, sam shepard, vinnie jones, drea de matteo, rudolf martin, zach grenier, camryn grimes",united states,2021-06-02,2001,r,99 min,Action & Adventure,"A gifted hacker with a criminal past is recruited by a group of shadowy, seductive figures for an elaborate scheme where nothing is quite as it seems."
s815,movie,The Four Seasons,alan alda,"alan alda, carol burnett, len cariou, sandy dennis, rita moreno, jack weston, bess armstrong, elizabeth alda, beatrice alda",united states,2021-06-02,1981,pg,108 min,"Comedies, Romantic Movies","Three middle-aged couples vacation together every season until one of the men ditches his wife for a younger woman, tilting the group's dynamics."
s817,movie,The Interpreter,sydney pollack,"nicole kidman, sean penn, catherine keener, jesper christensen, yvan attal, earl cameron, george harris, michael wright, clyde kusatsu, eric keenleyside, hugo speer","united kingdom, france, germany, united states",2021-06-02,2005,pg-13,128 min,Thrillers,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.
s818,movie,The Meddler,lorene scafaria,"susan sarandon, rose byrne, j.k. simmons, cecily strong, jerrod carmichael, michael mckean, jason ritter, billy magnussen, lucy punch, sarah baker",united states,2021-06-02,2015,pg-13,104 min,"Comedies, Dramas, Independent Movies","Still-grieving widow Marnie moves to Los Angeles to be close to daughter Lori, but soon discovers new outlets for her maternal and romantic needs."
s819,movie,The Mirror Has Two Faces,barbra streisand,"barbra streisand, jeff bridges, lauren bacall, george segal, mimi rogers, pierce brosnan, brenda vaccaro, austin pendleton, elle macpherson, ali marsh, leslie stefanson, taina elg, lucy avery brooke, amber smith",united states,2021-06-02,1996,pg-13,127 min,"Comedies, Dramas, Romantic Movies","Tired of being single, middle-aged professor Rose Morgan accepts her colleague's proposal – but her colleague only wants a platonic marriage."
s820,movie,The Outlaw Josey Wales,clint eastwood,"clint eastwood, sondra locke, chief dan george, bill mckinney, john vernon, paula trueman, sam bottoms, geraldine keams, woodrow parfrey, joyce jameson",united states,2021-06-02,1976,pg,136 min,"Action & Adventure, Classic Movies","In this gritty Oscar-nominated Western, an ex-Confederate soldier on the run comes to rest in a quiet community, where he falls for a pretty settler."
s822,movie,The Wedding Guest,michael winterbottom,"dev patel, radhika apte, jim sarbh",united kingdom,2021-06-02,2018,r,97 min,"Dramas, Romantic Movies, Thrillers","Hired to extract a bride-to-be before her arranged wedding in Pakistan, a hired gun goes on the run with his hostage when his plan unravels."
s823,movie,The Wind,emma tammi,"caitlin gerard, julia goldani telles, ashley zukerman, miles anderson, dylan mctee",united states,2021-06-02,2019,r,88 min,Horror Movies,"Isolated on a wind-ravaged 19th-century homestead, a frontierswoman begins to suspect that evil lurks in the terrifying emptiness all around her."
s824,movie,Then Came You,peter hutchings,"asa butterfield, maisie williams, nina dobrev, ken jeong, tyler hoechlin, david koechner, peyton list, tituss burgess",united states,2021-06-02,2019,tv-ma,97 min,"Comedies, Dramas, Independent Movies",A hypochondriac confronts his fear of death when a terminally ill teen girl enlists him to help her complete her bucket list.
s825,movie,Welcome Home,george ratliff,"aaron paul, emily ratajkowski, riccardo scamarcio, katy louise saunders, alice bellagamba",united states,2021-06-02,2018,r,97 min,Thrillers,"A couple rents a villa in Italy hoping to mend their bruised relationship, but the devilishly charming homeowner can’t seem to leave them alone."
s827,movie,Bo Burnham: Inside,bo burnham,bo burnham,united states,2021-05-30,2021,tv-ma,88 min,Stand-Up Comedy,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year."
s829,movie,Collateral Beauty,david frankel,"will smith, edward norton, kate winslet, michael peña, helen mirren, naomie harris, keira knightley, jacob latimore, ann dowd, liza colón-zayas",united states,2021-05-28,2016,pg-13,97 min,Dramas,An advertising executive wrestling with grief finds meaning by writing letters to unconventional recipients as caring colleagues plot a ruse.
s835,movie,Blue Miracle,julio quintana,"jimmy gonzales, dennis quaid, anthony gonzalez, bruce mcgill, raymond cruz, nathan arenas, miguel angel garcia, isaac arellanes, steve gutierrez, dana wheeler-nicholson, fernanda urrejola, silverio palacios",united states,2021-05-27,2021,tv-pg,97 min,"Children & Family Movies, Dramas, Faith & Spirituality","To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition."
s837,movie,Ghost Lab,paween purijitpanya,"thanapob leeratanakachorn, paris intarakomalyasut, nuttanicha dungwattanawanich, suquan bulakul, rachanee siralert, chaleeda gilbert, nuttawut jenmana, alanta potjes, anchuleeon buagaew, jinjuta rattanaburi",thailand,2021-05-27,2021,tv-ma,118 min,"Horror Movies, International Movies, Thrillers","After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist."
s839,movie,Soy Rada: Serendipity,pablo faro,agustín aristarán,argentina,2021-05-27,2021,tv-ma,70 min,Stand-Up Comedy,"The delightful Argentine comic Agustín Aristarán (aka Soy Rada) is back, this time putting the spotlight on family and parenting, magic and music."
s840,movie,The Day I lost My Shadow,soudade kaadan,"sawsan arsheed, reham kassar, samer ismael, owiss mokhallati, hanane hajj ali, yassin albokhari, yamam al hassan, noor maghout, mohammad alsayyed ali, mostafa alkar, amal assaf, madonna adib, marwa almassri, abdel nasser maraqbi","syria, france, lebanon, qatar",2021-05-27,2018,tv-ma,91 min,"Dramas, Independent Movies, International Movies","As winter hits hard and resources run low in Damascus, a single mom heads to the war-scarred outskirts looking for gas to prepare her son a warm meal."
s841,movie,Baggio: The Divine Ponytail,letizia lamartire,"andrea arcangeli, valentina bellè, andrea pennacchi, antonio zavatteri, anna ferruzzo, riccardo goretti, thomas trabacchi, marc clotet, martufello",italy,2021-05-26,2021,tv-ma,92 min,"Dramas, International Movies, Sports Movies","The story of Roberto Baggio, one of the best soccer players of all time, including his career highs, triumphs over injuries and discovery of Buddhism."
s847,movie,Home,tim johnson,"jim parsons, rihanna, steve martin, jennifer lopez, matt jones, brian stepanek, april lawrence",united states,2021-05-25,2015,pg,94 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip."
s851,movie,99 Songs,vishwesh krishnamoorthy,"ehan bhat, edilsy vargas, manisha koirala, lisa ray, tenzin dalha, warina hussain, ranjit barot, neel tyagi, rahul ram, diwakar pundir",india,2021-05-21,2021,tv-14,131 min,"Dramas, International Movies, Music & Musicals","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey."
s854,movie,Army of the Dead,zack snyder,"dave bautista, ella purnell, omari hardwick, garret dillahunt, ana de la reguera, theo rossi, matthias schweighöfer, nora arnezeder, hiroyuki sanada, tig notaro, raúl castillo, huma qureshi, samantha win, richard cetrone, michael cassidy",united states,2021-05-21,2021,r,148 min,"Action & Adventure, Horror Movies","After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever."
s860,movie,Asmaa,amr salama,"hend sabry, maged el-kidwani, hany adel, sayed rajab, ahmed kamal, boutros ghaly, laila ezz el arab, samia asaad, fatmah adel, mohamad yones, mohamed abd el azim",egypt,2021-05-20,2011,tv-14,92 min,"Dramas, International Movies","Constantly denied medical treatment, an HIV positive woman confronts societal stigma with unexpected courage. Inspired by true events."
s864,movie,Spy Kids: All the Time in the World,robert rodriguez,"jessica alba, joel mchale, rowan blanchard, mason cook, jeremy piven, alexa penavega, daryl sabara, ricky gervais, danny trejo",united states,2021-05-20,2011,pg,88 min,"Children & Family Movies, Comedies",Twins Rebecca and Cecil spring into action with their retired secret agent stepmother to stop a time-manipulating mastermind and his nefarious plans.
s866,movie,Sabotage,david ayer,"arnold schwarzenegger, sam worthington, olivia williams, terrence howard, joe manganiello, josh holloway, mireille enos, harold perrineau, martin donovan, max martini, mark schlegel, kevin vance",united states,2021-05-19,2014,r,109 min,"Action & Adventure, Dramas","A crack team of DEA agents plots a daring heist, making off with $10 million in drug money. They soon find themselves targets of an unknown killer."
s867,movie,Small Town Crime,"eshom nelms, ian nelms","john hawkes, anthony anderson, octavia spencer, robert forster, clifton collins jr., jeremy ratchford, james lafferty, michael vartan, daniel sunjata, don harvey, stefanie scott, caity lotz, dale dickey",united states,2021-05-19,2017,r,92 min,Thrillers,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption that takes him down a dark path."
s871,movie,Amy Tan: Unintended Memoir,james redford,amy tan,united states,2021-05-18,2021,tv-14,101 min,Documentaries,"From her painful past to her successful career after ""The Joy Luck Club,"" groundbreaking writer Amy Tan shares her life story in this documentary."
s872,movie,Sardar Ka Grandson,kaashvie nair,"arjun kapoor, neena gupta, rakul preet singh, kumud mishra, aditi rao hydari, john abraham, kanwaljeet singh, soni razdan, masood akhtar, divya seth, ravjeet singh, akashdeep sabir",india,2021-05-18,2021,tv-14,140 min,"Comedies, Dramas, International Movies","A devoted grandson’s mission to reunite his ailing grandmother with her ancestral home turns into a complicated, comic cross-border affair."
s873,movie,Sleight,j.d. dillard,"jacob latimore, seychelle gabriel, sasheer zamata, storm reid, cameron esposito, dulé hill, michael villar, brandon johnson, donzaleigh abernathy, jay walker",united states,2021-05-16,2016,r,89 min,"Dramas, Independent Movies, Sci-Fi & Fantasy","Struggling to raise his little sister on his own, a young street magician turns to drug dealing, unaware of how ruthless his supplier can be."
s874,movie,Ahaan,nikhil pherwani,"arif zakaria, abuli mamaji, niharika singh, rajit kapoor, plabita borthakur, shilpa mehta, kaizaad kotwal, sonali sachdev, haresh raut",india,2021-05-15,2021,tv-ma,81 min,"Dramas, Independent Movies, International Movies","Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbor, a young man with Down Syndrome."
s878,movie,Cinema Bandi,praveen kandregula,"vikas vasistha, sandeep varanasi, rag mayur, trishara, munivenkatapa, uma yg, sirivennela yanamandhala, sindhu sreenivasa murthy",india,2021-05-14,2021,tv-ma,99 min,"Comedies, Independent Movies, International Movies",A struggling rickshaw driver’s life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.
s879,movie,Ferry,cecilia verheyden,"frank lammers, elise schaap, huub stapel, monic hendrickx, raymond thiry, maarten heijmans, yannick van de velde","belgium, netherlands",2021-05-14,2021,tv-ma,107 min,"Dramas, International Movies, Thrillers","Before he built a drug empire, Ferry Bouman returns to his hometown on a revenge mission that finds his loyalty tested — and a love that alters his life."
s880,tv show,Halston,daniel minahan,"ewan mcgregor, bill pullman, rebecca dayan, david pittu, krysta rodriguez, rory culkin, vera farmiga, gian franco rodriguez, sullivan jones, kelly bishop, dilone, james waterston, jason kravits, mary beth peil",united states,2021-05-14,2021,tv-ma,1 Season,TV Dramas,His name built an empire. His style defined an era. American fashion designer Halston skyrockets to fame before his life starts to spin out of control.
s882,movie,I Am All Girls,donovan marsh,"erica wessels, hlubi mboya, deon lotz, brendon daniels, mothusi magano",south africa,2021-05-14,2021,tv-ma,107 min,"Dramas, International Movies, Thrillers",A relentless detective finds common ground with a killer systematically targeting the perpetrators running a powerful child-trafficking ring.
s883,movie,Jungle Beat: The Movie,brent dawes,"ed kear, david menkin, ina marie smith, john guerrasio, david rintoul, gavin peter, lucy montgomery, florrie wilkinson, adam neill, jason pennycooke",mauritius,2021-05-14,2021,tv-y7,90 min,"Children & Family Movies, Comedies","When a lost and lonely alien crash-lands on Earth, his new crew of talking animal friends helps him get back home — and try to save the world!"
s886,movie,Table Manners,leli maki,"diaan lawrenson, renate stuurman, neels van jaarsveld, thabo malema, john lata, fiona ramsey, jonathan taylor, julian robinson","canada, south africa",2021-05-14,2018,tv-ma,104 min,"Comedies, Dramas, International Movies","When a housewife's picture-perfect life comes crashing down, she finds solace and hope through cooking, family and love."
s888,movie,The Strange House,daniel prochaska,"león orlandianyi, benno roßkopf, julia koschitz, marii weichsler, lars bitterlich, michael pink, inge maux, elfriede schüsseleder, michael somma, finn reiter, markus stubeier, luca streussnig",austria,2021-05-14,2020,tv-ma,100 min,"Horror Movies, International Movies, Thrillers","When a big-city family moves to a remote town, two young brothers and their new friends try to solve the menacing mystery that haunts their home."
s890,movie,The Woman in the Window,joe wright,"amy adams, gary oldman, anthony mackie, fred hechinger, wyatt russell, brian tyree henry, jennifer jason leigh, jeanine serralles, mariah bozeman, julianne moore",united states,2021-05-14,2021,r,102 min,"Dramas, Thrillers","Confined to her home by agoraphobia, a psychologist becomes obsessed with her new neighbors — and solving a brutal crime she witnesses from her window."
s892,movie,Layer Cake,matthew vaughn,"daniel craig, colm meaney, kenneth cranham, sienna miller, tom hardy, michael gambon, george harris, jamie foreman, marcel iures, ben whishaw, tamer hassan",united kingdom,2021-05-13,2004,r,105 min,"Independent Movies, International Movies, Thrillers","A suave, steely-eyed London cocaine dealer's retirement plans hit a violent snag when his boss asks him to do one more job."
s893,movie,Tottaa Pataaka Item Maal,aditya kripalani,"shalini vatsa, chitrangada chakraborty, vinay sharma, sonal joshi, kritika pande",india,2021-05-13,2018,tv-ma,107 min,"Dramas, Independent Movies, International Movies","Exasperated with living in perpetual fear for their safety, four women kidnap a man to show him the realities of being female in Delhi."
s895,movie,Dance of the Forty One,david pablos,"alfonso herrera, emiliano zurita, mabel cadena, fernando becerril, paulina álvarez muñoz","mexico, brazil",2021-05-12,2021,tv-ma,99 min,"Dramas, Independent Movies, International Movies",A gay congressman marries the Mexican president's daughter but cavorts with a young man at a secret club. And then scandal hits. Based on a true story.
s896,movie,Oxygen,alexandre aja,"mélanie laurent, mathieu amalric, malik zidi","france, united states",2021-05-12,2021,tv-14,102 min,"Dramas, International Movies, Thrillers","After waking up in a cryogenic unit, Liz fights to survive and remember who she is before her oxygen runs out."
s900,movie,Illegal Woman,ramon térmens,"daniel faraldo, isak férriz, yolanda sey, raquel camón, adeline flaun, klaudia dudová, boris ruiz, àngels bassas, ahmad alhamsho, abdel aziz el mountassir",spain,2021-05-11,2020,tv-ma,119 min,"Dramas, International Movies",An immigration lawyer and a Nigerian woman caught in a ring of corruption team up to uncover the truth behind a suspicious death in a detention center.
s902,movie,Deadly Switch,svetlana cvetko,"teri polo, dylan walsh, danika yarosh, hayley mclaughlin, bryce durfee, matt passmore, heather mazur, ashlyn pearce",united states,2021-05-10,2019,tv-pg,86 min,"Independent Movies, Thrillers","In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back."
s904,movie,Nayattu,martin prakkat,"kunchacko boban, joju george, nimisha sajayan, jaffer idukki, yama gilgamesh, anil nedumangad, dineesh p, vinod sagar",india,2021-05-09,2021,tv-ma,122 min,"Dramas, International Movies, Thrillers",Three police officers become pawns for unscrupulous lawmakers when they are framed in an incident amid political elections and must flee to evade arrest.
s905,movie,Sleepless,baran bo odar,"jamie foxx, michelle monaghan, scoot mcnairy, dermot mulroney, t.i., david harbour, gabrielle union, octavius j. johnson, tim connolly, drew sheer",united states,2021-05-08,2017,r,95 min,Action & Adventure,"A Las Vegas cop attempts to rob a drug shipment from a casino kingpin, but the heist goes horribly wrong, leading to the kidnapping of his son."
s906,movie,Super Me,zhang chong,"darren wang, song jia, cao bingkun, wu gang, chin shih-chieh, wang ziyi, kevin lee",china,2021-05-08,2021,tv-14,104 min,"Action & Adventure, Dramas, International Movies",A struggling screenwriter discovers his lucrative ability to bring antiques from his dreams into the real world — but his new life soon unravels.
s907,movie,Have You Ever Seen Fireflies? - Theatre Play,yılmaz erdoğan,"demet akbağ, zerrin sümer, sinan bengier, salih kalyon, bican günalan, şebnem sönmez, binnur kaya, serhat özcan",turkey,2021-05-07,1999,tv-ma,118 min,"Dramas, International Movies",Yılmaz Erdoğan's lauded stage play traces the life of wunderkind Gülseren as she navigates social and political change.
s910,movie,Milestone,ivan ayr,"suvinder vicky, lakshvir saran, mohinder gujral, gurinder makna, daljeet singh, akhilesh kumar, gaurika bhatt, arun aseng",india,2021-05-07,2021,tv-14,98 min,"Dramas, Independent Movies, International Movies","Recently marking 500,000 kilometers on the road, a newly bereaved trucker faces the threat of losing the job that has come to define him to a new intern."
s911,movie,Monster,anthony mandler,"kelvin harrison jr., jennifer hudson, jeffrey wright, jennifer ehle, tim blake nelson, nasir 'nas' jones, rakim mayers, paul ben-victor, john david washington, jharrel jerome, dorian missick",united states,2021-05-07,2021,tv-ma,99 min,Dramas,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.
s914,movie,Time to Dance,stanley menino d'costa,"sooraj pancholi, isabelle kaif, rajpal yadav, waluscha d'souza, natasha powell, martin rycroft, amrit maghera, saqib saleem",india,2021-05-07,2020,tv-pg,107 min,"Dramas, International Movies, Romantic Movies","When a ballroom dancer’s shot at a crucial tournament is jeopardized, a street dancer must face his own painful past and step up as her new partner."
s915,movie,Unrest,jennifer brea,"jennifer brea, omar wasow, jessica taylor-bearman","united kingdom, united states",2021-05-07,2017,tv-ma,97 min,Documentaries,"In this heart-wrenching documentary, a 28-year-old Ph.D. student turns the camera on herself to capture her struggles with chronic fatigue syndrome."
s916,movie,And Tomorrow the Entire World,julia von heinz,"mala emde, noah saavedra, tonio schneider, luisa-céline gaffron, andreas lust, nadine sauter, ivy lissack, hussein eliraqui, victoria trauttmansdorff, michael wittenborn","germany, france",2021-05-06,2020,tv-ma,112 min,"Dramas, International Movies, Thrillers",A law student joins an anti-fascist group and finds herself sucked into increasingly dangerous situations and drawn more and more to violence.
s917,movie,Dead Man Down,niels arden oplev,"colin farrell, noomi rapace, terrence howard, dominic cooper, isabelle huppert, luis da silva jr., armand assante, f. murray abraham",united states,2021-05-06,2013,r,118 min,Action & Adventure,An enforcer plotting revenge against the ruthless criminal he works for is blackmailed by a mysterious neighbor looking to exact vengeance of her own.
s918,movie,Framing John DeLorean,"don argott, sheena m. joyce","alec baldwin, josh charles, morena baccarin, dean winters, michael rispoli, dana ashbrook, jason jones, josh cooke, sean cullen, william hill",united states,2021-05-05,2019,tv-ma,109 min,"Documentaries, Dramas","From his rise in the auto industry to his fall from grace, John DeLorean's legacy of power, fast cars and drugs comes to life in this documentary."
